Trade History Report,,,,,,,,,,,,,,
Name:,,,Pawan Jatale,,,,,,,,,,,
Account:,,,"963254 (USD, EquitiSecurities-Demo, demo, Hedge)",,,,,,,,,,,
Company:,,,Equiti Securities Currencies Brokers L.L.C,,,,,,,,,,,
Date:,,,2025.08.07 13:40,,,,,,,,,,,
Positions,,,,,,,,,,,,,,
Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,,
2025.08.05 13:47:47,52526535,EURJPY.sd,sell,0.38, 170.377, 170.760, 169.250,2025.08.05 14:49:02, 170.321,0.00,0.00, 14.41,,
2025.08.05 13:47:47,52526536,GBPJPY.sd,sell,1.38, 196.144, 196.250, 194.740,2025.08.05 14:49:02, 195.995,0.00,0.00, 139.26,,
2025.08.05 13:47:47,52526537,USDCAD.sd,sell,0.62, 1.38041, 1.38260, 1.37260,2025.08.05 14:49:02, 1.38032,0.00,0.00, 4.04,,
2025.08.05 13:47:47,52526538,USDJPY.sd,sell,0.43, 147.589, 147.930, 146.420,2025.08.05 14:49:02, 147.657,0.00,0.00,- 19.80,,
2025.08.05 13:47:47,52526539,XAUUSD.sd,buy,0.15,3 356.55,3 350.00,3 395.00,2025.08.05 14:34:06,3 350.00,0.00,0.00,- 98.25,,
2025.08.05 13:51:22,52526907,EURGBP.sd,buy,0.29, 0.86865, 0.86610, 0.87350,2025.08.07 10:38:59, 0.87350,0.00,- 9.62, 188.17,,
2025.08.05 14:11:18,52530536,XPTUSD.sd,buy,0.05,1 319.96,1 300.00,1 360.00,2025.08.05 14:49:02,1 312.64,0.00,0.00,- 36.60,,
2025.08.05 14:38:57,52533397,EURUSD.sd,buy,0.32, 1.15305, 1.15000, 1.15900,2025.08.06 13:07:29, 1.15900,0.00,- 2.63, 190.40,,
2025.08.05 14:49:02,52534929,EURJPY.sd,sell,0.31, 170.291, 170.760, 169.250,2025.08.05 18:32:02, 170.760,0.00,0.00,- 98.60,,
2025.08.05 14:49:02,52534931,GBPJPY.sd,sell,0.54, 195.976, 196.250, 194.740,2025.08.05 16:53:47, 196.250,0.00,0.00,- 100.10,,
2025.08.05 14:49:02,52534933,USDCAD.sd,sell,0.56, 1.38013, 1.38260, 1.37260,2025.08.07 10:48:22, 1.37260,0.00,- 3.36, 307.21,,
